Cubo_Num,K_Mezcla,Mezcla,Solucion,Longitud_Solucion,Tiempo_ms
74,10,"D U' D L' R' U L' D L' F","F' L D' L U' R L U D D",10,2.9831
75,8,"B' D' B F' D R' D B","B' D' R D' F B' D B",8,0.2850
76,11,"F U' L R' D' L R B' F' R' F'","F R F B R L' R R D R L' U F'",13,23.5113
77,11,"D' L' R D R B' R' F' D' L' F'","F L D F R B R' D' R' L D",11,2.1446
78,11,"R D' F R D F D U R B L","L' B' R' D' U' F' D' R' F' D R'",11,92.6085
79,7,"F' B U R' L' R D'","D L U' F B'",5,0.0065
80,12,"U F D R' L' U' L B' R' U L U","U' L' U' R B L' U R L D' F' U'",12,4.7740
81,9,"D' R D R' U' R' L' U' R","R' U R L U R D' R' D",9,0.8968
82,12,"D' B' R' B' D' L' R B' D R' F U","U' F' R U D' U' F B F' R' L D B R B D",16,163.7745
83,12,"F R L' B' D U B' F' R D F' R'","R F D' R' F B U' D' B R' L F'",12,27.3416
84,12,"L B' U L D' L F R' L' U' D B","F R' F' B' U D' R D L' U' B L'",12,135.8081
85,12,"L U' L B' U R' U' L D' R B' L","L' F B F' R' D L' U R U' B L' U L'",14,37.6620
86,10,"D R D' B F' R' F D B' L","L' B D' F' R F B' D R' D'",10,8.5912
87,10,"D' B' R' U' L' F' L U' R' D","D' R U R L' R' F L U R B D",12,20.2640
88,7,"F' R' D' U' L R' B","B' R L' U D R F",7,0.2529
89,7,"D' L' U' R L' B D","D' B' R' L U L D",7,0.1002
90,12,"U F U' D' F L R B' R' B U B","B' U' B' R B R' L' F' U D F' U'",12,9.6000
91,9,"F L F' B' U D' U B' U'","U B U U D F B L' F'",9,0.2083
92,7,"L' F U' F' B F' U'","U F F B' U F' L",7,0.0546
93,12,"R' F R' D B' D F L' U R B' U'","U B R' U' L F' D' B D' R F' R",12,1245.4845
94,11,"R F U L' B' R U L F B' U","U' F' B L' U' R' B L U' F' R'",11,0.3526
95,7,"L D L F D B' F","F' B D' F' L' D' L'",7,0.1517
96,10,"U' R' L R' L B' F B R' D","D' R F' R R L L U",8,0.1446
97,10,"B' L' R' D F B' F' R L B","B' R L' R R B D' R L B",10,0.5554
98,12,"F U R L D' R U' D' F' D F L","L' F' D' F U D R' D R' L' U' F'",12,13738.3567
99,10,"F' L' F' B D' U' R' F B' L'","R F B' U D' F' B U B B U' D R F",14,460.8972
100,11,"F D U' B' F' D U' F L' U D","U' D' L F' U D' F B U D' F'",11,1.7564
